SentenceID	English	Arabic	SentenceType	Switch Translation	Comment
C-7622	I said I was gonna tell you the truth.	لقد قلت أنني سأخبرك بالحقيقة	B-B		
C-7623	I said I would help you find him. I can't take you to him.	لقد قلت أن بإمكاني مساعدتك في إيجاده ولكني لا أستطيع أن آخذك إليه	B-B		
C-7624	I said I would make you coffee, you just had to wait for it.	قلت إنني سأعد القهوة ما كان عليك إلا أن تنتظر .	B-M	قلت إنني سأعد القهوة ما كان عليك إلا أن تنتظري .	
C-7625	I said I would stand behind you.	قلت أنني سأقف خلفك	B-B		
C-7626	I said don't move! Stay where you are!	لقد قلت لا تتحرك ابق مكانك	B-M	لقد قلت لا تتحركي ابقي مكانك	
C-7627	I said get the hell out of here, you stupid son of a bitch!	قلت لك أن ترحل من هنا أيها اللعين !	B-M	قلت لك أن ترحلي من هنا أيتها اللعينة !	
C-7628	I said no, but I realized, yeah, it kinda did, you know?	وقلت لا ، لكنني أدركت ، أجل ، إلى حدما هذا حصل ، صحيح ؟	B-S		حدما
C-7629	I said shut up! I don't wanna hear any more of your lies.	قلت اصمتى ، انا لا اريد ان اسمع المزيد من اكاذيبك	B-F	قلت اصمت ، انا لا اريد ان اسمع المزيد من اكاذيبك	
C-7630	I said that I support your decision to run for office.	قلت أنني أؤيد قرار ترشحك للمنصب	B-B		
C-7631	I said to him "wait till your father gets home,"	قلت له " انتظر حتى يعود أباك "	B-M	قلت لها " انتظري حتى يعود أباك "	
C-7632	I said where are we going? You'll see.	لقد قلت اين سنذهب ؟		HARD	
C-7633	I said you made three mistakes.	قلت لك أنك ارتكبت ثلاثة اخطاء .	B-B		
C-7634	I said you're not coming in here!	أنتما لا يمكنكما الدخول	B-B!		
C-7635	I said, "Now, Ralph, all you gotta do when we get out..."	وقلت لنفسي أيضا . . . فقط كل ما سأفعله هو	B-N		
C-7636	I said, "hey, guys." What's your glitz, Gene?	فقلت له : " يا شباب " . ما هو الواجهة الخاصة بك ، جين ؟		HARD	
C-7637	I said, what's the matter with you?	قلت ما خطبك ؟	B-B		
C-7638	I said... -Yeah, but you...	- نعم ولاكن	B-N		
C-7639	I said: "I know you can.	أعلم أنك تستطيع أنت الضابط المسئول	B-M	أعلم أنك تستطيعين أنت الضابطة المسئولة	
C-7640	I salute your... dedication to indulgence, man, but I must appeal to your sense of decency...	أحيي فيك . . . إنغماسك في الملذات يا رجل ، و لكن لابد أن أناشد فيك حس لباقتك . . .	B-M	أحيي فيك . . . إنغماسك في الملذات يا امرأة ، و لكن لابد أن أناشد فيك حس لباقتك . . .	
C-7641	I saved you from those aliens.	لقد أنقذت من هؤلاء الفضائين	B-N		Bad translation
C-7642	I saved you, you schmendrick.	بل أنقذتك	B-B		
C-7643	I saved your fucking life and lent you some truly exquisite clothes.	لقد أنقذت حياتك اللعينة ، وأعرتك مجموعة من الثياب الأنيقة الباهظة ،	B-B		
C-7644	I saw Chelsea's car outside. I didn't see yours.	رأيت سيارة " تشيلسي " في الخارج ولم أرى سيارتك	B-B		
C-7645	I saw him run after you when I captured you	لقد رأيت كيفية ركضه تجاهي عندما أمسكت بك	B-B		
C-7646	I saw it. I watched you die.	. لقد شهدته . لقد شاهدتك تموت	B-B		
C-7647	I saw that lettering written on the wall, did you do that?	- رأيت الكتابات على الجدار ، هل كتبتها أنت ؟	B-B		
C-7648	I saw that very same combination of medications in your pill organizer.	رأيتكنفس المقادير منالأدوية فيعلبة أدويتك	B-S		رأيتكنفس
C-7649	I saw the handsome, topless, guy you were married to, but now I am all good.	رأيت أنك متزوجة رجلا وسيما غير مرتدي سترة لكن أنا الآن بخير	B-F	رأيت أنك متزوج رجلا وسيما غير مرتدي سترة لكن أنا الآن بخير	
C-7650	I saw the hungry eye you gave it last time we were up in London.	رأيت نظرتك النهمة لها أخر مرة عندما كنا في ( لندن ) إنها لك		HARD	
C-7651	I saw what came out of your pillow.	رأيت ما خرجت وسادتك .	B-B		
C-7652	I saw what humanity did to you.	رأيت مافعلته البشريه بك	B-B		مافعلته
C-7653	I saw you and a woman exiting a coat closet.	رأيتك وإمرأة تخرجا من خزانة المعاطف		HARD	CONJ
C-7654	I saw you at Nuit Sombre, we went for drinks, and I said I'd call you.	رأيتك في ( نوي سومبر ) ، ذهبنا لتناول المشروبات وقلت أنني سأتصل بك		HARD	
C-7655	I saw you at the horse riding club a long time ago.	رأيتك بنادي ركوب الأحصنة منذ فترة طويلة	B-B		
C-7656	I saw you at the reception, but I don't remember training you.	رأيت لك في حفل الاستقبال ، ولكن أنا لا أتذكر التدريب لك .	B-B		
C-7657	I saw you carry fruits on your scooter.	رأيتك تحمل فواكه على دراجتك الصغيرة	B-B		
C-7658	I saw you from the window.	لقد شاهدتك من النافذة	B-B		
C-7659	I saw you in court today.	رأيتك اليوم في المحكمة نعم ؟	B-B		
C-7660	I saw you in endocrinology.	رأيتك في قسم علم الغدد	B-B		
C-7661	I saw you knock them down.	رأيتك تسقطهم أرضا	B-M	رأيتك تسقطينهم أرضا	
C-7662	I saw you laughing in the dark.	لقد رأيتك تضحكين في الظلام .	B-F	لقد رأيتك تضحك في الظلام .	
C-7663	I saw you looking at my scars.	- هاه . - رأيتك تنظرين إلى ندوبي .	B-F	- هاه . - رأيتك تنظر إلى ندوبي .	
C-7664	I saw you race.	نعم ، رأيتك تتسابق	B-M	نعم ، رأيتك تتسابقين	
C-7665	I saw you reach in your pocket when you pulled him over.	- عم تتكلم ؟ لقد رأيتك تضع يدك في جيبك عندما قمت بإيقافه	B-M	- عم تتكلمين ؟ لقد رأيتك تضعين يدك في جيبك عندما قمت بإيقافه	
C-7666	I saw you strangle him.	لقد رايتك تخنقه	B-B		
C-7667	I saw you the other day, talking to my friend Sam.	. . رأيتك ذلك اليوم " تتحدثين مع صديقي " سام	B-F	. . رأيتك ذلك اليوم " تتحدث مع صديقي " سام	
C-7668	I saw you trying to move that couch by yourself.	لقد رأيتك تحاولين نقل تلك الأريكة لوحدك	B-F	لقد رأيتك تحاول نقل تلك الأريكة لوحدك	
C-7669	I saw you, and I'm watching you!	لقد رأيتك لقد شاهدتك	B-B		
C-7670	I saw you.	فقد رأيتك	B-B		
C-7671	I saw you.	اسمع ، لا نعرف إن كان هذا ممكنا حتى	B!-M	اسمعي ، لا نعرف إن كان هذا ممكنا حتى	
C-7672	I saw your daughter, I bought her a meal, I gave her a ride.	رأيت إبنتك . . إشتريت لها وجبة أعطيت لها توصيلة	B-B		
C-7673	I saw your face when you took off the ski mask!	لقد رأيت وجهك ! عندما قمت بنزع قناع التزلج	B-B		
C-7674	I saw your girl today at pet therapy.	رأيت فتاتك اليوم عند الطبيب البيطري	B-B		
C-7675	I saw your mom was packing all this stuff up herself, so...	رأيت أمك تحزم كل هذه الأغراض بمفردها .	B-B		
C-7676	I saw your record on the news. You made their Hall of Shame.	لقد رأيت رقمك بالأخبار لقد لحقت بقاعة العار	B-B		
C-7677	I saw your report a couple weeks back, thought I'd run it through our John Does.	طالعت تقريرك منذ أسابيع ، وارتأيت أن أبحث خلال قائمة المجهولين لدينا . .		HARD	
C-7678	I say no to a lot of people and you know how catty the scientific community can be.	رفضت العديد من الأشخاص وأنت تعلمين كيف يكون الامر في مجال الأبحاث .	B-F	رفضت العديد من الأشخاص وأنت تعلم كيف يكون الامر في مجال الأبحاث .	
C-7679	I say we give you up.	إن كان يريدك بشدة أقترح أن نسلمك إليه		HARD	
C-7680	I say you are a hypocrite.	أنا أقول إنك منافق	B-M	أنا أقول إنك منافقة	
C-7681	I say you bash its brains in right now.	أقولك تحطم أدمغته الآن .	B-S		أقولك
C-7682	I say you won. - I think you won.	- اعتقد انك فزت .	B-B		
C-7683	I screwed up. And you're right.	لقد أخفقت وأنت محق	B-M	لقد أخفقت وأنت محقة	
C-7684	I see Mr. Blue Blazes keeps you happy.	أرى السيد الأزرق الحرائق تبقيك سعيدا .	B-M	أرى السيد الأزرق الحرائق تبقيك سعيدة .	Bad translation
C-7685	I see New York's treating you the way it treats most of us.	أرى نيويورك علاج كنت الطريقة التي يعامل معظمنا .		HARD	
C-7686	I see here that you're with Worthington, Ferris and Clarke.	أرى هنا بأنك تعمل مع " ورذينجتن " و " فيرس " و " كلارك "	B-M	أرى هنا بأنك تعملين مع " ورذينجتن " و " فيرس " و " كلارك "	
C-7687	I see how busy you are, but can I trouble you a moment?	أرى انشغالك ، لكن هل يمكنني إزعاجك للحظة ؟	B-B		
C-7688	I see how hard you're fighting your disease.	أرى مدى صعوبة أنك تقاتل مرضك	B-M	أرى مدى صعوبة أنك تقاتلين مرضك	
C-7689	I see my promotion popped up on your Harvey Specter Google alert.	أنا أرى أن ترويجي قد انتشر على جوجل الخاص ب " هارفي سبكتر "	B-N		
C-7690	I see no reason for leniency since the money was found on your person.	انا لا ارى ان هناك سبب للرأفه طالما عثر على النقود فى جيبك	B-B		
C-7691	I see the Council is sending you with us to Jedha.	( أرى أن المجلس يرسلك معنا إلى ( جيدا .		HARD	
C-7692	I see the little game you're playing.	ولقد أدركت الخطة التى تقوم بها ؟	B-M	ولقد أدركت الخطة التى تقومين بها ؟	
C-7693	I see what you did too.	لي جدا	B-N		Bad translation
C-7694	I see what you mean.	أفهم ما تعنيه	B-M	أفهم ما تعنينه	
C-7695	I see what you mean. Did you discuss this with Major Powers?	هل ناقشت هذا مع ميجور باور ؟	N-B		
C-7696	I see what you're doing.	أفهم ما الذي تنوي القيام به	B-M	أفهم ما الذي تنويين القيام به	
C-7697	I see what you've done there.	أرى ما قمتم به هناك .	B-M!	أرى ما قمتن به هناك .	
C-7698	I see why you and Billy were always raving about Mingus.	( فهمت لما أنت و ( بيلى ( مولعين ب ( مينجوس مينجوس : من أفضل عازفين الجاز		HARD	CONJ
C-7699	I see you are better. Your mouth won't stop.	أرى أن حالتك تحسنت ، لن يتوقف فمك	B-B		
C-7700	I see you got my call.	أرى بأنك تلقيت إتصالي .	B-B		
C-7701	I see you got my message.	أرى أن رسالتي قد وصلتك .	B-B		
C-7702	I see you have met Marissa.	( أرى أنك قابلت ( ماريسا	B-B		
C-7703	I see you have quite a family. A wife and four children.	أرى أن لديك عائلة ، زوجة و أربعة أطفال	B-B		
C-7704	I see you haven't given up. Just enjoy the cake.	أرى بأنك لم تستسلم فقط استمتع بالكعكة . مادمت لن تأكلها	B-M	أرى بأنك لم تستسلمي فقط استمتعي بالكعكة . مادمت لن تأكليها	مادمت
C-7705	I see you know them?	أرى أنك تعرف لها ؟	B-M	أرى أنك تعرفين لها ؟	Bad translation
C-7706	I see you met Ryan.	أرى انك قابلتي راين	B-F	أرى انك قابلت راين	قابلتي
C-7707	I see you met Sadie.	أرى أنك قد قابلت ( سيدي )	B-B		
C-7708	I see you're already cultivating important people in high places.	أرى أنكم بدأت بحرث الأشخاص المهمين في المناصب العليا		HARD	أنكم بدأت
C-7709	I see you're looking at my watch.	أرى أنك تنظرين لساعتي	B-F	أرى أنك تنظر لساعتي	
C-7710	I see you're still her valet.	أرى أنك لا تزال بصفها .	B-M	أرى أنك لا تزالين بصفها .	
C-7711	I see you've hitched your horse to a teaching post, and I also understand it's difficult for you to be social.	أرى أنك مرتبط . بتدريس آخر . وأعلم كم هم صعب عليك أن تكون إجتماعيا .	B-M	أرى أنك مرتبطة . بتدريس آخر . وأعلم كم هم صعب عليك أن تكوني إجتماعية .	
C-7712	I see you, Martin.	أراك ، مارتن .	B-B		
C-7713	I see you.	أنا أراك	B-B		
C-7714	I see your fears.	أرى مخاوفك	B-B		
C-7715	I see your point.	فهمت وجهة نظرك .	B-B		
C-7716	I see, thanks for your work.	فهمت ، شكرا لما تقوم به .	B-M	فهمت ، شكرا لما تقومين به .	
C-7717	I see, you have your own battle you must fight.	فهمت ، لديك معركة خاصة عليك أن تقاتل فيها	B-M	فهمت ، لديك معركة خاصة عليك أن تقاتلي فيها	
C-7718	I see. And what about you, then?	فهمت ، وماذا عنك ، لاحقا ؟	B-B		
C-7719	I see. I thought you just really, really liked your new couch.	ظننت انك احببت اريكتك الجديدة	B-B		
C-7720	I seek only to call you son, absent shame in the title.	أنا أسعى فقط إلى أن أدعوك بابني وأنا لا أشعر بالعار من هذا اللقب	B-M	أنا أسعى فقط إلى أن أدعوك بابنتي وأنا لا أشعر بالعار من هذا اللقب	
C-7721	I sense a presence within you.	أحس بوجود شيئ بك	B-B		
C-7722	I sense there's a hole and you're waiting for something to fill it.	أشعر بوجود فجوة ، كما أنك تنتظر شيئا ليملأها .	B-M	أشعر بوجود فجوة ، كما أنك تنتظرين شيئا ليملأها .	
C-7723	I sense your disapproval, Maze. What is it?	لقد شعرت برفضك ، ميز ، ما الأمر ؟	B-B		
C-7724	I sense your discomfort.	أعتقد أنك لا تشعرين بالراحة لذلك .	B-F	أعتقد أنك لا تشعر بالراحة لذلك .	
C-7725	I sensed, when I was healing you we've met before today, but that's...	كنت أشعر وأنا أعالجك . . أننا تقابلنا من قبل لكن هذا مستحيل . أليس كذلك ؟		HARD	
C-7726	I sent Randy to go get some, but... nah, you don't want to hear the end of that story.	أرسلت ( راندي ) ليحضرهما . . لكن لن تود سماع القصة	B-M	أرسلت ( راندي ) ليحضرهما . . لكن لن تودي سماع القصة	
C-7727	I sent a half a dozen units out looking for you.	أرسلت نصف درزن من الوحدات للبحث عنك	B-B		
C-7728	I sent you an e-mail, man.	لقد ارستله لك في الايميل يا رجل	B-M	لقد ارستله لك في الايميل يا امرأة	
C-7729	I sent you an email. Check it.	لقد أرسلت بريدا إلكترونيا ، تفقده	B-M	لقد أرسلت بريدا إلكترونيا ، تفقديه	
C-7730	I sent you to a ticket tout.	سأرسلك لبائع التذاكر السوداء	B-B		
C-7731	I seriously doubt that, since you quit two weeks ago.	اشك في ذلك . منذ ان استقلت قبل اسبوعين .	B-B		
C-7732	I shall be judged by you, Mr. Spratt, whatever happens.	سيحكم علي من قبلك يا ( سبرات ) مهما يحدث	B-B		
C-7733	I shall go straight to paris to meet king francis and ratify the new treaty between your majesties and since his holiness remains a prisoner of the emperor,	سأذهب مباشرة إلى باريس للقاء الملك فرانسيس وأصدق على المعاهدة الجديدة بين فخامتكما وطالما أن قداسته لازال سجين الإمبراطور	B-B!		
C-7734	I shall not return with any for you, sir, because it would melt.	سأعود بدون أن أجلب لك منها شيء يا سيدي ، لأنها ستذوب	B-M	سأعود بدون أن أجلب لك منها شيء يا سيدتي ، لأنها ستذوب	
C-7735	I shall say nothing till tomorrow morning, when you fail to report for duty, and are listed as a deserter.	و لن أقل شيئا حتى غدا صباحا حين تفشل في التبليغ عن مهمتك	B-M	و لن أقل شيئا حتى غدا صباحا حين تفشلين في التبليغ عن مهمتك	
C-7736	I shall sever this karmic bond and sever my ties with you	سوف أترك " تعاليم " الكارما و أقطع علاقتي بك	B-B		
C-7737	I should ask you, did you pack your bags yourself?	علي أن أسألك ، هل حزمت أغراضك بنفسك ؟	B-B		
C-7738	I should at least worry about you.	يجب علي على الأقل القلق بشأنك .	B-B		
C-7739	I should be angry with you, but I'm not.	" آني " يفترض بي الغضب منك لخيانتي ولكنني لست كذلك	B-B		
C-7740	I should be the only emergency for you!	! أنا يجب أن أكون حالة الطورائ الوحيدة لك	B-B		
C-7741	I should be with you.	سأكون بخير	B-N		
C-7742	I should change the guacamole. You know it goes like from green to brown.	أعتقد أننى يجب أن أغير الألوان من ألاخضر والبنى	B-N		
C-7743	I should crack your thick-ass skull right now. Leaving me here all alone!	يجب علي أن أحطم رأسك اللعين الآن	B-B		
C-7744	I should dearly love to hear you play and sing.	ساحب ان اسمعك تعزفين وتغنين	B-F	ساحب ان اسمعك تعزف وتغني	
C-7745	I should finish what my grandfather started and kill the rest of you.	أود أن أنهي ما بدأت جدي وقتل بقية لك .		HARD	بدأت - جدي
C-7746	I should get you an apron.	يجب أن أحضر لكم مئزرا	B-M!	يجب أن أحضر لكن مئزرا	
C-7747	I should have gone with him. Aah! What have you done?	كان يجب أن أذهب معه ماذا فعلت ؟	B-B		
C-7748	I should have guessed you were behind this.	كان يجب ان اخمن انك مسبب هذا	B-M	كان يجب ان اخمن انك مسببة هذا	
C-7749	I should have known that, under this all, these past years you've been building new hate for me, piece by piece.	كان حريا بي معرفة ذلك خلال كل هذه السنين المنصرمة كنت تنشئ بغضا جديدا لي شيئا فشيئا	B-M	كان حريا بي معرفة ذلك خلال كل هذه السنين المنصرمة كنت تنشئين بغضا جديدا لي شيئا فشيئا	
C-7750	I should have known you had a hand in this.	كان يجب علي أن أعلم أنه كان لك دخل في القضية .	B-B		
C-7751	I should have made you fight your way out.	كان علي أن أتركك تقاتل للخروج	B-M	كان علي أن أتركك تقاتلين للخروج	
C-7752	I should have never doubted you.	لم ينبغي علي أن اشك بك ابدا	B-B		
C-7753	I should have protected you.	كان يجب أن أحميك	B-B		
C-7754	I should have told them... but I was afraid of losing you.	. . . . توجبعلي اخبارهم بمكانك لكنني خفت أن أخسرك	B-S		توجبعلي
C-7755	I should have told you everything yesterday. It's just...	أنا أعتذر لكم ، لم يكن بمقدرتي إخباركم بالأمس	B-M!	أنا أعتذر لكن ، لم يكن بمقدرتي إخباركن بالأمس	
C-7756	I should have told you everything. And i... I can't change what's happened.	كان يجب ان أخبرك بكل شئ	B-B		
C-7757	I should have told you who I was.	كان يجب علي اخبارك بمن أكون	B-B		
C-7758	I should have told you yesterday.	كان يجب علي أن أخبرك البارحة	B-B		
C-7759	I should have warned you that they make the hottest coffee in town.	كان يجب أن أحذرك أن سبب محبتي لذلك المكان لأنهم يصنعون أشد القهوة حرارة في البلدة	B-B		
C-7760	I should hope she did! I'll tell you what though...	أتمنى أنها قامت بذلك أسمعي أيضا	B-F	أتمنى أنها قامت بذلك أسمع أيضا	
C-7761	I should let you get back.	علي أن أدعك ترجعين .	B-F	علي أن أدعك ترجع .	
C-7762	I should never have brought you all to a place like this.	ماكان علي أن أجلبكم لمكان كهذا	B-M!	ماكان علي أن أجلبكن لمكان كهذا	
C-7763	I should prefer, Gordon Pasha, that you leave Khartoum now.	اننى أفضل ، جنرال جوردون ، أنك تترك الخرطوم الان	B-M	اننى أفضل ، جنرال جوردون ، أنك تتركي الخرطوم الان	Bad translation
C-7764	I should say your students. A lesson in combat's unpredictability.	ولا يجب ان أقول طلابك درس في عدم القدرة على التنبؤ القتالي	B-B		Bad translation
C-7765	I should thank you.	انا آسفة أنا يجب أن أشكركم	F-M!	انا آسف أنا يجب أن أشكركم	
C-7766	I should think you'd be tired after school.	- أعتقد أنك مرهق بعد المدرسة	B-M	- أعتقد أنك مرهقة بعد المدرسة	
C-7767	I should think you'd have worked that one out.	أعتقد أنك عرفت هذا	B-B		
C-7768	I should use you for this Psych paper. Intuition in Extrasensory French Fry Perception.	يجب أن أستغلك لهاته الورثة المجنونة الحدس ، والإدراك اللاحسي للبطاطا المقلية .	B-S		لهاته
C-7769	I should've guessed the first time I saw you in that citadel of male complacency when you were as brave in debate as you were later in duel.	كان ينبغي أن أخمن هذا منذ أول مرة رأيتك في تلك القلعة للرضا الذكري عندما كانت شجاعتك تساوي شجاعتك في المبارزة بعدها	B-B		
C-7770	I should've personally delivered you to him	أنا سوف أسلمك له شخصيا	B-B		
C-7771	I should've told you earlier.	كان يفترض أن أخبرك من قبل .	B-B		
C-7772	I should've told you.	كان ينبغي أن أخبرك بكل شيء	B-B		
C-7773	I should've... you should've come to live with me.	كان يجب عليك العيش معي	B-B		
C-7774	I should, uh, be making things easier for you... not making you feel like you got to tiptoe around my ego.	. . كان علي ، جعل الأمور سهلة بالنسبة لك لا جعلك تشعر و كأنك يجب أن تتعامل بحذر حول غروري	B-M	. . كان علي ، جعل الأمور سهلة بالنسبة لك لا جعلك تشعرين و كأنك يجب أن تتعاملي بحذر حول غروري	
C-7775	I shouldn't be listenin' to complaints. I should be makin' 'em with you guys.	لا يجب أن اصغي للشكوات يجب أن أتشكى معكم	B-M!	لا يجب أن اصغي للشكوات يجب أن أتشكى معكن	Bad translation
C-7776	I shouldn't be throwing this at you right now.	لا يجدر بي قول هذا الأن	B-N		
C-7777	I shouldn't have let you talk me into it.	لم يكن علي أن أسمح لك بأن تقنعني بهذا العمل	B-M	لم يكن علي أن أسمح لك بأن تقنعيني بهذا العمل	
C-7778	I shouldn't have put you on the spot and gotten all relationshippy on you.	ما كان يجب أن أضعك تحت الضغط بشأن أمر العلاقة تلك	B-B		
C-7779	I shouldn't have to, Audrey. I trusted you.	لم يكن على أن أفعل ذلك من المفترض أنك صديقتى لقد وثقت بك	B-F	لم يكن على أن أفعل ذلك من المفترض أنك صديقى لقد وثقت بك	
C-7780	I shouldn't have told everyone what happened. That's your business.	لم ينبغي أن أخبر الجميع بما حدث ، هذا شأنك	B-B		
C-7781	I shouldn't need to explain myself to you two. You two are supposed to be gladiators.	ليس علي أن أوضح نفسي لكما ينبغي بكما أن تكونا جلادين	B-M!	ليس علي أن أوضح نفسي لكما ينبغي بكما أن تكونا جلادتين	
C-7782	I shouldn't put words in your mouth, Mr. Andrews.	يجب ألا أتحدث بلسانك يا سيد أندروز	B-M	يجب ألا أتحدث بلسانك يا سيدة أندروز	
C-7783	I show you the barn, and then the house, and then you can be on your way.	سوف أريك الجرن وبعدها المنزل ، وبعدها تستطيع إستكمال بحثك بمكان آخر .	B-M	سوف أريك الجرن وبعدها المنزل ، وبعدها تستطيعين إستكمال بحثك بمكان آخر .	
C-7784	I show you what I do with him... and now my reputation for you is fact.	أريتك ماذا فعلت به والآن سمعتي بالنسبة لك حقيقة	B-B		
C-7785	I show you.	سأريك	B-B		
C-7786	I showed him that one where you guys get the ghost at that one hotel,	لقد أريته ذلك الفيديو عندما عثرتوا على ذلك الشبح في ذلك الفندق ،	B-N		
C-7787	I showed up at work. Just like you.	وبدأت أعمل مثلك تماما .	B-B		
C-7788	I simply respect people like you.	أنا ببساطة أحترم الإشخاص من أمثالك .	B-B		
C-7789	I simply wish to protect you.	أني فقط أود حمايتك .	B-B		
C-7790	I slept all right, thank you.	نمت جيدا ، شكرا لك .	B-B		
C-7791	I snapped at you because I'm stressing really heavy.	لقد هاجمتك لأنني أعاني من ضغط شديد .	B-B		
C-7792	I sometimes forget, good warrior, you were born in a different age.	أحيانا أنسى أيها المحارب القوي إنك ولدت في زمان آخر	B-M	أحيانا أنسى أيتها المحاربة القوية إنك ولدت في زمان آخر	
C-7793	I sometimes wish that you'd never come to the Marshalsea.	أتمنى في بعض الأحيان لو أنك لم تأت إلى ال ( مارشلسي ) .	B-M	أتمنى في بعض الأحيان لو أنك لم تأتي إلى ال ( مارشلسي ) .	
C-7794	I spend the night with you?	هل قضت الليلة معك ؟	N-B		Bad translation
C-7795	I spent a lot of time with the pictures you gave me of the farm you grew up on.	قضيت وقت طويل مع الصور التي أعطيتها لي من المزرعة التي نشأت فيها	B-B		
C-7796	I spilled something on your shirt.	لقد سكبت شيئا ما على قميصك	B-B		
C-7797	I spit on you.	تبا لك	B-B		
C-7798	I split, you get him back.	- محال	N-N		
C-7799	I spoke often about you.	اشعر بالسوء لانى اعطيتها درجات سيئة	B-N		
C-7800	I spoke to your attorney.	لقد تحدثت مع محاميك	B-B		
C-7801	I spoke to your buddy Taylor. He doesn't feel like I have enough fighter time to qualify.	لا يظن صديقك ( تايلور ) أنني أمسك خبرة طيران كافية لذلك	B-B		
C-7802	I started a countdown. So you'll know.	لقد بدأت العد التنازلي إذن سوف تعرف	B-M	لقد بدأت العد التنازلي إذن سوف تعرفين	
C-7803	I started learning from you in secret when I was 10.	بدأت بالتعلم منك في السر عندما كنت 100 .	B-B		
C-7804	I stay. I help you.	سابقى معك واساعدك .	B-B		
C-7805	I step up, and I put one right in your heart.	خطوت ، و أصبتك في القلب	B-B		
C-7806	I still assumed I could make up for missing your childhood... later, always later, that I could...	مازلت أفترض أنني أستطيع إصلاح طفولتك المفقودة دائما لاحقا	B-B		
C-7807	I still don't know what can be done to undo the wrong that's been done to her, but for now, I need to repay you for what you did to Yuki.	مازلت لا أعرف ما الذي يمكنني القيام به لأتراجع عن الخطأ الذي حل على حياتها أريد أن أجازيك عما فعلته ب ( يوكي	B-B		
C-7808	I still got it, you know. One seventy-six and your receipt. I worked with old ladies.	لازلت افهم ذلك ، كما تعلمي لقد عملت مع سيدات كبار	B-F	لازلت افهم ذلك ، كما تعلم لقد عملت مع سيدات كبار	لازلت
C-7809	I still have many more dishes I'd like to cook for you.	لا يزال لدي الكثير من الأطباق التي أود أن أطبخها لك .	B-B		
C-7810	I still have to find the jewelled poignard to kill you with.	يجب أن أعثر على الخنجر المرصع بالمجوهرات حتى أقتلك	B-B		
C-7811	I still live in you, just like the boy does.	مازلت اعيش بداخلك كما حال الفتى	M-B	مازلت اعيش بداخلك كما حال الفتاة	مازلت
C-7812	I still love V. I still fuck you.	لا أزال أحب ( فى ) ، لا أزال أضاجعك	B-B		
C-7813	I still love you.	مازلت أحب الطعام الإيطالي	B-N		Bad translation
C-7814	I still need to advise you against doing this, Alan.	فلازلت أنصحك بعد فعل ذلك يا ( ألان ) .	B-B		فلازلت
C-7815	I still remember the songs you sang me to sleep.	ما زلت أتذكر ما تغنيه لي عند نومي	B-M	ما زلت أتذكر ما تغنينه لي عند نومي	
C-7816	I still say just be yourself, okay?	لازلت أقول بأن تكون على سجيتك ، حسنا ؟	B-M	لازلت أقول بأن تكوني على سجيتك ، حسنا ؟	
C-7817	I still... love you.	ولكنني مازلت أحبك	B-B		
C-7818	I stood at your door asking for my daughter's life...	عندما اتيت لبابك للتوسل لحياه ابنتي	B-B		
C-7819	I stopped by to tell you that I would be gone and couldn't come tomorrow.	جئت لأخبرك انني سأرحل ولن استطيع المجيئ غدا	B-B		
C-7820	I strongly suggest you use the restroom.	أنصحكم باستخدام دورة المياه	B-M!	أنصحكن باستخدام دورة المياه	
C-7821	I study in Simla... in perhaps the same college that you have you studied in	على ماعتقد نفس الكلية اللتي درست انت بها	B-S		ماعتقد
C-7822	I suddenly find you naive.	أراك ساذجا فجأة .	B-M	أراك ساذجة فجأة .	
C-7823	I suggest we get to the rail depot... before the train leaves with your Magda... and those Nazi fucks gain more ground.	( قبل مغادرة القطار مع ( ماجده لنحرق النازيين الحقراء	B!-N		
C-7824	I suggest you change too.	أقترح أن تغير ثيابك انت أيضا	B-M	أقترح أن تغيري ثيابك انت أيضا	
C-7825	I suggest you hurry.	أقترح أن تسرع	B-M	أقترح أن تسرعي	
C-7826	I suggest you open your eyes to the possibility... as your father would.	أقترح عليك أن تفتح عينيك . . . إلى كل الإحتمالات كما كان ليفعل والدك	B-M	أقترح عليك أن تفتحي عينيك . . . إلى كل الإحتمالات كما كان ليفعل والدك	
C-7827	I suggest you plug that leak.	أقترح أن تسكت الخائن	B-M	أقترح أن تسكتي الخائن	
C-7828	I suggest you use your rest time to do just that.	العمل في المنجم الصفيح منهك . تذكر لأكل ونوم حسنا .	B-M	العمل في المنجم الصفيح منهك . تذكري لأكل ونوم حسنا .	Bad translation
C-7829	I suggested something, and you immediately agreed.	لقد اقترحت شيئا وانت وافقت علي الفور	B-B		
C-7830	I suggested you work with him, not sleep with him.	لقد إقترحت عليك العمل معه ، ليس النوم بجانبه	B-B		
C-7831	I suppose I should have told you this earlier, but I misjudged you, Mrs. Thompson.	كان علي إخبارك بذلك من قبل ولكن أسأت الحكم فيك ( سيدة ( طومسون	B-F	كان علي إخبارك بذلك من قبل ولكن أسأت الحكم فيك ( سيد ( طومسون	
C-7832	I suppose I thought that I could learn something from your study, learn something about the human body.	أعتقد أن بوسعي تعلم شيء من دراستكم ، تعلم شيء عن جسم الإنسان .	B-M!	أعتقد أن بوسعي تعلم شيء من دراستكن ، تعلم شيء عن جسم الإنسان .	
C-7833	I suppose that's an important part of your work, then?	اعتقد ان هذا اهم جزء من عملك ؟	B-B		
