SentenceID	English	Arabic	SentenceType	SwitchTranslation	Comment
A-5128	-I guess I'm always acting.	أظن أنني دائما أمثل - حقا ؟ -	B-N		
A-5129	-I guess.	أعتقد	B-N		
A-5130	-I had nothing to do with this.	- ليس لي علاقة بهذا .	B-N		
A-5131	-I hate guns.	- انا اكره الاسلحه .	B-N		
A-5132	-I have a dog.	- أنا لدي كلب	B-N		
A-5133	-I have an idea.	- لدي فكرة .	B-N		
A-5134	-I have my orders.	لقد جائتني الاوامر لدي الأوامر	B-N		
A-5135	-I have not.	- لا .	N-N		
A-5136	-I have thought about it a couple of times.	- انا فكرت في الموضوع مرتين .	B-N		
A-5137	-I hope it involves candle wax.	اتمنى أن هذا يتضمن شمعة	B-N		
A-5138	-I just came back from a bing-bang show -A sing and a dance	لقد جئت توا من استعراض مدو - رقص وغناء ؟	B-N		
A-5139	-I just remembered there was a suicide in my building last night, a woman slit her throat.	تذكرت للتو ، كانت هناك عملية أنتحار في بنايتي البارحة ، امرأة قامت بقطع عنقها .	B-N		
A-5140	-I knew about the parts--	- كنت أعلم بأمر القطع	B-N		
A-5141	-I know I do.	- أعرف أنك كذلك .	B-B		
A-5142	-I know, I know, I know.	و لكننى - إننى أعرف ، أعرف -	B-N		Bad translation
A-5143	-I know.	!	B-S		No Arabic sentence
A-5144	-I know.	- أعلم .	B-N		
A-5145	-I know.	انا اعرف	B-N		
A-5146	-I know.	أعرف .	B-N		
A-5147	-I make do with it.	- سأكتفي بذلك	B-N		
A-5148	-I need a tourniquet. -Come on, Lucas.	أني بحاجة الى عصبة إيقاف النزيف هيا ، لوكاس	B-B		
A-5149	-I only hope I'm not too late. -Good heavens, Harriet, what is it?	أرجو أن لا أكون متأخرة مالأمر هارييت ؟	B-S		مالأمر
A-5150	-I really truly was, cross my heart.	أقسم بذلك	B-N		
A-5151	-I said stop it!	قلت لك توقف	B-M	قلت لك توقفي	
A-5152	-I said, Iet's go!	- لقد قلت ، هيا بنا		HARD	
A-5153	-I saw the whole thing.	- أنا رأيت كل شيء	B-N		
A-5154	-I swear it. He was just there.	اقسم بذلك لقد رأيته	B-N		
A-5155	-I think I do.	أعتقد ذلك	B-N		
A-5156	-I think it went well.	- لقد مر بشكل جيد . - أجل .	B-N		
A-5157	-I think so.	- أعتقد هذا	B-N		
A-5158	-I thought I was too.	- ظننت بأني كذلك أيضا	B-N		
A-5159	-I thought we'd get a bite.	أمك أخبرتني عن هذا ، ظننت بأستطاعتنا تناول لقمة بعد العرض		HARD	
A-5160	-I thought-- -I know.	إني آسفة	F-N	إني آسف	
A-5161	-I trust everything is under control?	- هل كل شيء تحت السيطرة ؟ - نعم ، نعم .		HARD	More than one sentence
A-5162	-I used the number she gave me.	- الرقم الذي أعطتني إياه .	B-N		
A-5163	-I want out.	- أريد الخروج من ذلك	B-N		
A-5164	-I want to put the eggs.	نعم انا أريد	B-N		
A-5165	-I was a kid. -I understand.	- أقصد ، لقد كنت طفلا	M-N	- أقصد ، لقد كنت طفلة	
A-5166	-I was going out of my mind.	من أنا ذاهب من ذهني .	M-N	من أنا ذاهبة من ذهني .	Bad translation
A-5167	-I was there.	- كنت هناك	B-N		
A-5168	-I was too busy faIIing--	- كنت مشغولا -	M-N	- كنت مشغولة -	
A-5169	-I won't be. -Okay.	لن أتأخر حسنا	B-N		
A-5170	-I won't do it.	- لن أفعلها .	B-N		
A-5171	-I won't leave!	- لن أغادر !	B-N		
A-5172	-I wouldn't do that.	- لما فعلت ذلك	B-N		
A-5173	-I wouldn't have let him get shot.	- لن أسمح له بأطلاق النار	B-N		
A-5174	-I wouldn¡¯t rather be at work.	- أنا لا أفضل البقاء في العمل	B-N		
A-5175	-I'd like to see Paul Angeli.	- أود مقابلة بول أنجيلى	B-N		
A-5176	-I'll be all right.	- سأكون بخير	B-N		
A-5177	-I'll be there.	- سوف اكون هناك	B-N		
A-5178	-I'll come back with some.	ربما أعود لاحقا ، و أحضر لك شىء	B-B		
A-5179	-I'll get Xena and Hercules.	- " سأخبر " زينا " و " هرقل .	B-N		
A-5180	-I'll miss her in my laboratory.	- سأفتقدها في معملي .	B-N		
A-5181	-I'll not leave.	لن أرحل	B-N		
A-5182	-I'll take it up.	- سأحفظه لكي .	B-F	- سأحفظه لك .	
A-5183	-I'm Dr. Kesselbaum.	- أنا الدكتور كيسلبوم .	M-N	- أنا الدكتورة كيسلبوم .	
A-5184	-I'm a boat broker. I sell boats.	- أنا سمسار قوارب ، أبيع القوارب -	M-N	- أنا سمسارة قوارب ، أبيع القوارب -	
A-5185	-I'm burning!	- أنا أحترق	B-N		
A-5186	-I'm done being someone's bitch.	أنا فعلت يجري الكلبة شخص ما .	B-N		Bad translation
A-5187	-I'm eating.	- ليس الآن . إني آكل .	B-N		
A-5188	-I'm for peace and love.	أنادي بالسلام والحب	B-N		
A-5189	-I'm going to get rid of them.	- سأتخلص منهما	B-N		
A-5190	-I'm gonna listen for a heartbeat.	- سأصغي لضربات القلب	B-N		
A-5191	-I'm kidding, dad.	من أنا أنا تمزح ، أبي .	B-M	من أنا أنا تمزحين ، أمي .	Bad translation
A-5192	-I'm kidding. BILLY:	- انا امزح بيلي :	B-B		
A-5193	-I'm not a mind reader!	أنا لست بقاريء أفكار ! أنا لست بقاريء أفكار	M-N	أنا لست بقارئة أفكار ! أنا لست بقارئة أفكار	
A-5194	-I'm not done!	- لم أنته بعد !	B-N		
A-5195	-I'm not even-- -Sit the fuck down. Stay down.	انا حتى لم أبقى جالسا	M-N	انا حتى لم أبقى جالسة	
A-5196	-I'm not going to do that.	- لن أقوم بذلك .	B-N		
A-5197	-I'm not nearsighted.	أنا لست أعاني من قصر النظر	B-N		
A-5198	-I'm out of here.	- أنا خارج من هنا .	M-N	- أنا خارجة من هنا .	
A-5199	-I'm real hyped!	أنا مستاء فعلا !	M-N	أنا مستاءة فعلا !	
A-5200	-I'm saying-- -It was love.	. . . ما أقوله - كان الحب -	N-N		
A-5201	-I'm sorry. I forgot.	أسف ، نسيت جيد	M-N	أسفة ، نسيت جيد	Bad translation
A-5202	-I'm sure. -She was a revelation.	- كانت مصدر للالهام .	N-N		Bad translation
A-5203	-I'm tired.	- إنني مرهقة .	F-N	- إنني مرهق .	
A-5204	-I'm too tired for kisses.	- أنا تعبت من كثرة القبلات	B-N		
A-5205	-I'm too tired right now. I win.	أني متعب جدا الآن لقد ربحت	M-N	أني متعبة جدا الآن لقد ربحت	
A-5206	-I'm, uh, yeah.	- أنا . . نعم .	B-N		
A-5207	-I've been a bit unlucky.	لقد كنت محظوظا قليلا .	M-N	لقد كنت محظوظة قليلا .	
A-5208	-I've got a feeling.	رائع !	N-N		Bad translation
A-5209	-I've lost him.	- لقد فقدته	B-N		
A-5210	-I... I'm on the same floor.	أنا أقيم بنفس الطابق في الغرفة 186	B-N		
A-5211	-If it's true how can I keep on working with her?	- إذا كان ذلك صحيحا . . . كيف أستطيع أن أكمل العمل معها ؟	B-N		
A-5212	-In fact... get me a yogurt either way.	- فى الواقع . . . أحضر لى زبادى فى كلا الحالتين	B-M	- فى الواقع . . . أحضري لى زبادى فى كلا الحالتين	
A-5213	-Indeed I do, when I get the chance.	- اهتم فعلا ، عندما تسنح لي الفرصة . -	B-N		
A-5214	-It's Rigby. I saw her today.	و الأن أنتي جالسة هنا بجانبي	B-F	و الأن أنت جالس هنا بجانبي	
A-5215	-It's bullshit about how crazy I am.	- ذلك الهراء عن جنوني - انتبه لألفاظك	B-M	- ذلك الهراء عن جنوني - انتبهي لألفاظك	
A-5216	-It's me, Pablo.	بابلو .	N-B		Bad translation
A-5217	-It's me. What's up?	إنه أنا ، ما الحال ؟		HARD	
A-5218	-It's not me.	انه ليس أنا		HARD	
A-5219	-It's taped to the back of my toilet tank.	- ألصقته خلف حوض الحمام .	B-N		
A-5220	-Just looking for my nurse's pen.	- لا يهم ، أبحث فقط عن قلم ممرضتي	B-N		
A-5221	-Just tell me.	- فقط أخبرني .	B-M	- فقط أخبريني .	
A-5222	-Kathy, I'm open!	- كاثي ) ، أنا حرة ) !	F-B	- كاثي ) ، أنا حر ) !	
A-5223	-Kramer, give me that rooster.	كرايمر ، أعطني ذلك الديك . كفا !	B-M	كرايمر ، أعطيني ذلك الديك . كفا !	
A-5224	-Larry Minuti, my partner.	- لاري مينوتي شريكي	B-B		
A-5225	-Let me go!	دعنيأذهب !	B-S		دعنيأذهب
A-5226	-Let me hang him, please.	دعني أشنقه ، رجاء أسكت	B-M	دعيني أشنقه ، رجاء أسكتي	
A-5227	-Let me in.	أدخلينى	B-F	أدخلنى	
A-5228	-Let me know, guys. -Watch this.	- نادوني عندما تريدون	B-M!	- نادينني عندما تريدن	
A-5229	-Let me look at this cut. -No--	- دعيني ألقي نظرة على هذا الجرح	B-F	- دعني ألقي نظرة على هذا الجرح	
A-5230	-Let me put that down.	- اسمحي لي بوضع هذه جانبا	B-F	- اسمح لي بوضع هذه جانبا	
A-5231	-Let me see.	- دعني أرى .	B-M	- دعيني أرى .	
A-5232	-Let me.	- اسمحى لى	B-F	- اسمح لى	
A-5233	-Let's go, come on. -Honey, I've got to go now.	هيا نذهب - أنا مضطرة للذهاب الآن -		HARD	More than one sentence
A-5234	-Little finger of my right hand.	- خنصر يدي اليمنى	B-N		
A-5235	-Look at me now£¡	- انظرى الى الآن	B-F	- انظر الى الآن	
A-5236	-Look in my face and talk slowly.	- انظر إلى وجهي ، وتحدث ببطء	B-M	- انظري إلى وجهي ، وتحدثي ببطء	
A-5237	-Look, I--	- انظر ، أنا . . .	B-M	- انظري ، أنا . . .	
A-5238	-Look, give me 1 5 minutes.	نظرة ، أعطني 1 5 دقائق .	B-N		Bad translation
A-5239	-Mabon, I have to.	- أنا مضطر لهذا يا مابون -	M-N	- أنا مضطرة لهذا يا مابون -	
A-5240	-Made me!	جعلني !	B-N		
A-5241	-Me?	- أنا ؟	B-N		
A-5242	-Melman, I'm right here!	- ميلمان ) ، أنا هنا ) !	B-N		
A-5243	-Mine whistles. Hey, there.	هل هذا ما تفك الخلوي ؟	B-S		ما تفك >>> هاتفك Bad tanslation
A-5244	-Monitor the my show?	أنت فلوب ؟ - تشاهد برنامجي ؟	B-M	أنت فلوب ؟ - تشاهدين برنامجي ؟	More than one sentence in Arabic
A-5245	-Mr. Cvorovic, I'll miss my plane.	- سيد كفوروفيتش ستفوتني الطائرة	B-M	- سيدة كفوروفيتش ستفوتني الطائرة	
A-5246	-My book bag.	- بوسطن .	N-N		Bad translation
A-5247	-My boss made me do it.	رئيسي أمرني بهذا	B-N		
A-5248	-My freaks!	شواذي !	B-N		
A-5249	-My lovely fat wife. Yes, we will.	زوجتي اللطيفه البدينه نعم ، سنحضر		HARD	
A-5250	-My name is not Master!	اسمي ليس سيدي	M-N	اسمي ليس سيدتي	Bad translation
A-5251	-No, I can't help	لا أستطيع منع نفسي	B-N		
A-5252	-No, I didn't mean to--	- لا ، إنني أعني هذا فأنا . . .	B-N		
A-5253	-No, I know, I wasn't--	- أعرف . لم أكن . . .	B-N		
A-5254	-No, I really have to be going now.	لا ، يجب أن اذهب الأن	B-N		
A-5255	-No, I'm saying it.	- لا ، أنا أقول ذلك	B-N		
A-5256	-No, I'm sorry.	- كلا ، أنا آسفة . - حقا ؟	F-N	- كلا ، أنا آسف . - حقا ؟	
A-5257	-No, here, let me.	هنا ، دعني أساعدك	B-M	هنا ، دعيني أساعدك	
A-5258	-No, it's not me	لا ، ليس لي	B-N		
A-5259	-No, ma'am, I don't.	- كلا يا آنستي ، بتاتا -		HARD	آنستي
A-5260	-No. Always wanted but my father never left.	كلا ، لطالما أردت لكن والدي منعني	B-N		
A-5261	-No. I don't even have any pockets.	- ليست لدي جيوب اصلا	B-N		
A-5262	-No. I wanna talk about the facts.	- لا أنا أريد أن أكلمك عن بعض الحقائق .	B-B		
A-5263	-No. I want an answer.	- لا ، أنا أريد جوابا	B-N		
A-5264	-Not exactly, he looks good, my opinion	- لا بالضبط ، وقال انه يبدو جيدا ، رأيي	B-N		Bad translation
A-5265	-Of people I'm going to kill.	قائمة بالأشخاص الذين سأقتلهم .	B-N		
A-5266	-Oh God, Roz, I don't think I've helped a single person tonight. -Helped?	يا إلهي " روز " ، لا أظنني ساعدت شخصا واحدا الليلة		HARD	إلهي - روز
A-5267	-Oh my God! -What in the Hell!	يا إلهي - ماهذا بحق الجحيم ؟	B-M	يا إلهتي - ماهذا بحق الجحيم ؟	
A-5268	-Oh, fuck. My dad.	أوه ، يمارس الجنس معه .	B-S		
A-5269	-Oh, my God.	- يا إله	B-M	- يا إلهة	Bad translation
A-5270	-Oh, oh, I know this one.	- كيف أكون ساذجا ؟ - أعرف إجابة هذا السؤال	M-N	- كيف أكون ساذجة ؟ - أعرف إجابة هذا السؤال	
A-5271	-One goes in front of me and one behind me, they scared me as hell...	واحد يمشي أمامي والثاني خلفي أخافاني كثيرا	B-N		
A-5272	-Personally, I feel a bit sticky. -A shower for me.	شخصيا انا اشعر بالرطوبة تلتصق على سوف آخذ دشا	B-N		
A-5273	-Philip Banks, my wife, Vivian.	- أنا ( فيليب بانكس ) ، هذه زوجتي ( فيفيان ) .	B-N		
A-5274	-Please! I'm thinking.	- أرجوك أيها الفتى ، لا تقاطعني .	B-M	- أرجوك أيتها الفتاة ، لا تقاطعيني .	
A-5275	-Right. Sometimes I find there's dysfunction in the family still, somehow people come together.	وأحيانا ، تكون هناك مشاكل داخل العائلة . .	N-N		
A-5276	-Said I	- بذلك أنطق	B-N		
A-5277	-She's my ex.	- إنه عشيقتي السابقة	B-N		Bad translation
A-5278	-She's, like, totally obsessed with me.	- انها تقلقني بشكل كبير	B-N		
A-5279	-Should I do it now?	- هل أفعل ذلك الآن ؟	B-N		
A-5280	-Shut up, man. Come on. -I want no trouble.	لا تتحرك وناولنى الأموال وإلا هيا	B-M	لا تتحركي وناولينى الأموال وإلا هيا	
A-5281	-So... I'll bet these have been put to a lot of use.	لكني قلت كل ما أستطيع أريد أن أكون حبيبك فقط لا يجب عليكي أن تستعجلي في الرحيل	M-F	لكني قلت كل ما أستطيع أريد أن أكون حبيبتك فقط لا يجب عليك أن تستعجلي في الرحيل	
A-5282	-Sorry. -Get me something.	انا آسف فلتحضر لي شئ للتنظيف	M-M	انا آسفة فلتحضر لي شئ للتنظيف	
A-5283	-Stop talking to me!	- توقف عن الحديث معي !	B-M	- توقفي عن الحديث معي !	
A-5284	-Sure. I've been all over town. All the employment offices and the USES.	بالطبع ، لقد بحثت فى كل مكاتب التوظيف و كل الجهات بالمدينة	B-N		
A-5285	-Terrance. -Watch for me, Mr. Murphy.	احتط مني يا سيد ( مورفي )	B-M	احتاطي مني يا سيدة ( مورفي )	
A-5286	-That cashbox, I suppose. -Well, what about it?	صندوق النقد على ما أظن - حسنا ، ماذا عنه ؟	B-N		
A-5287	-That's all I...	- هذا كل شيء . . .	N-N		
A-5288	-That's it, no more bets. -One more time. Come on, talk to me!	حسنا ، لا مزيد من الرهانات مرة بعد هيا كلميني	B-F	حسنا ، لا مزيد من الرهانات مرة بعد هيا كلمني	Bad translation
A-5289	-The thing in my closet. Oh, no, baby.	الشيء الذي بخزانتي	B-N		
A-5290	-There are my guys.	- هؤلاء رفاقي	B-N		
A-5291	-They abused me.	- لقد أرادوا استغلال ثروتهم " "	N-N		
A-5292	-They call me Forager.	( ينادوني ب ( فوراجير	B-N		
A-5293	-They'd never believe me.	لن يصدقوني أبدا .	B-N		
A-5294	-They're in my mending basket.	- أظنه في علبة الخياطة -	B-N		
A-5295	-This is my house.	- هذا منزلي	B-N		
A-5296	-This is the best I could get.	- هذا أفضل ما وجدته	B-N		
A-5297	-Turn it up. Check it out. -Yeah, I'm watching.	ارفعه وتأكد منه نعم أنا اتابع	B-M	ارفعيه وتأكدي منه نعم أنا اتابع	More than one sentence
A-5298	-Under mine.	- على مسؤوليتي أنا	B-N		
A-5299	-Want me to take care of it?	- أترغبين بأن أزيلها ؟	B-F	- أترغب بأن أزيلها ؟	
A-5300	-We can't be rude. Watch me.	لا قهوى أو حلوى ـ لا يمكننا سنبدو وقحين ـ	B!-N		قهوى
A-5301	-Well done, my love.	- أنت تحمل سوارتي ، حبي	B-M	- أنت تحملين سوارتي ، حبي	
A-5302	-Well, I actually had my first date last night. -That's wonderful.	حسنا في الواقع ذهبت في موعدي الأول ليلة أمس - هذا رائع -	B-N		More than one sentence
A-5303	-Well, I almost had them!	- حسنا ، لقد كنت على وشك الإيقاع بهم	B-N		
A-5304	-Well, I won't, but she will.	- أنا لن أفعل و لكنها ستفعل	B-N		
A-5305	-Well, my personal library seems to be missing the book version of Freaky Friday.	يبدو انها ضاعت منها النسخة الادبية ( من ( فريكي فرايداي	N-N		
A-5306	-Well, then I think we shouldn't dump on the people who have ideas.	إذا أعتقد أنه يجب أن لا نهمل للناس الذين عندهم الأفكار		HARD	أعتقد - نهمل
A-5307	-Well...mom.Mom,come on. -I'm sorry,so sorry.	بحقك يا أمي - أنا في غاية الأسف -	B-F	بحقك يا أبي - أنا في غاية الأسف -	
A-5308	-What am I?	لا أحد ؟	N-N		
A-5309	-What was I afraid of?	- ما الذي كنت أخشاه ؟	B-N		
A-5310	-When I left, he was calling for water.	حينما رحلت كان يطلب الماء	B-N		
A-5311	-Where can I find?	أين سأجدك مرة ةأخرى	B-S		ةأخرى
A-5312	-Why I can't be here?	لماذا لا أكون هنا ؟	B-N		
A-5313	-Why doesn't this... -I wish he'd stop torturing us.	لماذا ليس هذا أتمنى ان يوقف تعذيبه لنا		HARD	أتمنى - لنا
A-5314	-Won't fight back. -How about my half-brothers?	هم لن يقاوموا ماذا عن اخوتي غير الاشقاء	B-N		
A-5315	-Wormsley, over there. In that cove. -I'll take her in.	ورمسلى " هنا فى هذا الخليح " سأخذها للداخل	B-B		
A-5316	-Would I like to wait?	- هل أحب أن أنتظرها ؟	B-N		
A-5317	-Would that make me live longer?	هل ذلك يجعلنى أعيش أطول ؟ هو	B-N		Bad translation
A-5318	-Yeah, I guess it is.	- أعتقد ذلك	B-N		
A-5319	-Yeah, I know.	، نعم ، ل يعرفون .	B-S		ل يعرفون >>> ليعرفوا
A-5320	-Yeah, I know. And they never shut up.	- أجل ، أعلم ذلك ، ولا يصمتوا أبدا	B-N		
A-5321	-Yeah, I rode the Bullet.	- نعم لقد ركبته .	B-N		
A-5322	-Yeah, I think so. -Where's Ava?	أجل أظن ذلك أين " إيفا " ؟	B-N		
A-5323	-Yeah, story of my life.	. - نعم ، قصة حياتي .	B-N		
A-5324	-Yeah, thanks for calling me back.	- نعم ، شكرا لك لمعاودة الإتصال .	B-B		
A-5325	-Yeah. Me and Orville at Kitty Hawk.	- أجا ، أنا و أورفيل في " كيتي هوك " .	B-S		أجا >>> أجل
A-5326	-Yes! and then worsened... I think he has a problem!	وذلك بسبب شخص مريض على ما أظن .	B-N		
A-5327	-Yes, I am.	- أجل .	B-N		
A-5328	-Yes, I do.	- بل أعرفه .	B-N		
A-5329	-Yes, I know how to ride. -A horse.	نعم ، أعرف كيف أركب حصان	B-N		
A-5330	-Yes, I know.	- اجل انا اعلم	B-N		
A-5331	-Yes, of course I do.	- نعم ، أريد	B-N		
A-5332	-Yes. I mean, no.	أجل ، أعني ، لا	B-N		
A-5333	-Yes. OK, I'll have another look around, maybe I'll come back.	حسنا ، سيكون لدي زيارة أخرى ، لربما سوف أعود	B-N		
A-5334	-Yes. lt needs a little work I agree. lt does seem to echo the words of someone else...	- اجل ، تحتاج بعض التعديلات اجل ، كأنها كلمات شخص اخر وليس انت	B-B		
A-5335	-beside each other. -No, excuse me.	- أولا عليك ان تقسم	B-M	- أولا عليك ان تقسمي	
A-5336	-if I don't check in...	. . . .	B-S		No Arabic sentence
A-5337	-it's no problem.i'll do it as a favor.	- لا مشكله سأقوم بهذا كخدمه	B-N		
A-5338	-l did it all for my family, Lloyd.	فعلت ذلك في سبيل عائلتي	B-N		
A-5339	-l don't really give a fuck what they do. I just know what I'm gonna do.	لا يهمني مايقومون به ما يهمني ما أقوم به أنا فقط	B-N		مايقومون
A-5340	-l just want my money.	أريد نقودي فقط	B-N		
A-5341	-lt gives me a sense of...	- يمنحني شعور . . .	B-N		
A-5342	-lt's okay. -Take me home.	ان الأمر بخير خذينى للمنزل	B-F	ان الأمر بخير خذنى للمنزل	
A-5343	-stick it in my...	- تضعه في . . .		HARD	Ambiguous (2nd/3rd) تضعه
A-5344	-with my brother. -oh,nice.	مع أخي لطيف		HARD	Bad translation
A-5345	-yeah, take me out.	- اصطحبني إلى العشاء	B-M	- اصطحبيني إلى العشاء	
A-5346	-Νo, I didn't.	- لا ، لم أفعل	B-N		
A-5347	. - Please let me do my job!	- من فضلك اتركني أقوم بعملي	B-M	- من فضلك اتركيني أقوم بعملي	
A-5348	. ..here's my 900 number.	هذا رقم أل - 057 التابع لي	B-N		
A-5349	. ..she and I were utterly heartbroken.	كم كان قلبينا محطمين تماما	B!-N		
A-5350	. I would much prefer Krull.	أفضل فيلم " كرول "	N-N		
A-5351	.. I completely forgot about it.	حتى أنني نسيت أمرها	B-N		
A-5352	.. I didn't just lose him.	لم أفقده هو فقط	B-N		
A-5353	.. I worked and saved money..	. . . كنت أعمل و أدخر المال	B-N		
A-5354	... " Oh,I wishIhad knownthat ." Or, "I wish I had known him better. "	. . . " أوه ، أتمنى بأننيعرفتذلك . " ، أو " أتمنى بأنني عرفته أفضل . "	B-S		
A-5355	... I'mfeelinghot.	إنى أشعر بالحرارة	B-N		
A-5356	... I'vehadararemorning. I'm not in the mood to--	حضيت بنهار سيئ وانا حقآ لست في مزاج جيد	B-S		حضيت >>> حظيت
A-5357	... My name is Lilian	أسمي . . . . . . " ليليان " . . .	B-N		
A-5358	... andnoton thepart that makes me do this.	وليس على مايجعلني اراها	B-N		مايجعلني
A-5359	... everything I can to help.	ماذا سنفعل ؟ كل ما بوسعي لأساعد		HARD	
A-5360	... iseverythingto me .	هي كل شيء بالنسبة لي . . . .	B-N		
A-5361	... not me?	ليس لي ؟	B-N		
A-5362	... oneofthemost important people in my life.	سأخسر احد اهم الاشخاص في حياتي	B-N		
A-5363	... someonewithcourageenough to bring the fight to me.	. . شخص ما بالشجاعة بما فيه الكفاية لجلب المعركة لي .	B-N		
A-5364	... sowhenmy mothergetshere ,she'll have something to eat besides my soul.	لذا عندما تأتي أمي . . . يكون هناك شيء لتأكلة بجانب روحي	B-N		
A-5365	... tryingtopleaseMom to make her proud of me. But no more.	محاولا أرضاء أمي لأجعلها فخورة بي لكن ليس بعد الآن	M-N	محاولة أرضاء أمي لأجعلها فخورة بي لكن ليس بعد الآن	
A-5366	... youaretheweirdestlittlegirl I"ve ever seen.	أنك أغرب فتاة قد قابلتها	B-F	أنك أغرب فتى قد قابلته	
A-5367	...Anyway let me take it down.	- على أي حال اسمحوا لي أن أقبض عليه	B-M!	- على أي حال اسمحن لي أن أقبض عليه	
A-5368	...I'd rather not.	لا افضل ذلك	B-N		
A-5369	...and I go down to the Registrar of Voters on my lunch break.	وذهبت إلى مركز تسجيل المنتخبين خلال استراحة الغذاء	B-N		
A-5370	...and I heard somebody screaming', and it was me.	انا سمعت شخص ما يهتف	B-N		
A-5371	...and I'm apologizing.	- - - و أنا آسف .	M-N	- - - و أنا آسفة .	
A-5372	...and a chance to get away from myself.	وفرصة للهرب من نفسي	B-N		
A-5373	...and all I can think of while I sit there is that I'm paying a babysitter $3.25 an hour to listen to his problems.	وكنت أفكر وأنا جالسة هناك أننى أدفع لجليسة الاطفال 3.25 دولار فى الساعة لأسمع لمشكلاته	F-N	وكنت أفكر وأنا جالس هناك أننى أدفع لجليسة الاطفال 3.25 دولار فى الساعة لأسمع لمشكلاته	
A-5374	...and nothing was happening, so, on my own, I went to see this doctor, to get my sperm checked.	ولم يحدث شيئ ، ذهبت بمفردي لرؤية الطبيب لفحص سائلي المنوي .		HARD	
A-5375	...but I think there's some merit to it.	ولكنني اعتقد أن هناك بعض الاستحقاق في الأمر	B-N		
A-5376	...but nobody was there to hear it, and that's when a relative stranger reached out to me in public and changed my life forever. What is he doing here?	ما الذي يفعله هنا ؟	N-N		
A-5377	...for all those who revere him the most, who aren't afraid to say, "I walk with the Lord."	لكل أولئك الذين وقروه كثيرا الذي لا يخش ان يقول ، " أمشي مع اللورد . "		HARD	
A-5378	...is to be easier on myself.	لأن أتلطف مع نفسي	B-N		
A-5379	...so my brother doesn't have to work as hard.	حتى لا يضطر أخي للعمل الشاق .	B-N		
A-5380	...will be on the receiving end of a review with three of my favorite words:	سوف تتلقى ثلاثة من كلماتي المفضلة	B-N		
A-5381	..I want Sonia's, Ranvir's and Rajiv's biography.	أريد السيرة الذاتية لكل من . . . ( سونيا ) و ( رانفير ) و ( راجيف )	B-N		
A-5382	..I went there to look for Priya.	ذهبت للبحث عن بريا	B-N		
A-5383	..I will grab it from it's owner..	سوف آخذه من مالكه	B-N		
A-5384	..O'Brien. It's just that Wilkins here isn't quite able to understand what I'm getting at when I'm describing Lady Grantham's hair.	( أوبراين ) ، أنا لا أعتقد أن ( ويلكينس ) قادرة على استيعاب	B-B		
A-5385	..all around me I can see rescue workers and body bags.	يمكننى رؤية عمال الإنقاذ وأكياس الجثث	B-N		
A-5386	..and I'm the guy that beat him up.	وأنا الرجل الذي ضربه	M-N	وأنا المرأة التي ضربته	
A-5387	..condition and I respect his wishes.	على تلك الحالة ، و إحترمت رغبته	B-N		
A-5388	..how will I pay my workers?	فكيف سأدفع للعاملين لدي ؟ . .	B-N		
A-5389	..my bullet will pierce his heart.	ستخترق رصاصتي قلبه .	B-N		
A-5390	..or if they're simply what I want to remember.	أو هي ما أريد أن أتذكره	B-N		
A-5391	..she thought I was a waiter.	إعتقدت أنني نادل	M-N	إعتقدت أنني نادلة	
A-5392	..so I that I can leave.	حتى يمكنني الذهاب	B-N		
A-5393	..that I will come back alive.	بأنني سوف أعود على قيد الحياة	B-N		
A-5394	..that lmmy is my life-partner.	أن إيمي هو شريك حياتي	B-N		
A-5395	..then I'll leave this job half way, got it.	سوف أترك هذا العمل دون إكماله فهمت	B-B		
A-5396	..to a position where I felt like we were breaking down that process by asserting our humanity.	. . الى حالة حيث شعرت اننا كنا نهدم تلك العملية بالتاكيد على انسانيتنا .		HARD	
A-5397	..who will feel obliged to hug me.	. . من سيضطر الى معانقتي .	B-N		
A-5398	.357 is good, but I've seen 38s careen off windshields.	مسدس 357 سلاح جيد ، لكن رأيت رصاصات عيار 38 تنزلق من زجاج السيارات	B-N		
A-5399	/ No, sir. I have not forgotten him. I think about him every night.	لم أنسه أبدا كل يوم افكر في ما فعلت به هل أنت نسيته سيدي	B-M	لم أنسه أبدا كل يوم افكر في ما فعلت به هل أنت نسيته سيدتي	
A-5400	00 a.m. I start to feel... like I'm losing my mind, watching those in fomercials on psychics... or listening to Tony Robbins and the psychic hot lines.	00 صباحا أبدأ بالشعور كأني أفقد عقلي اراقب تلك المعلومات على المرضى النفسيين أو استمع إلى توني روبنس والخطوط الساخنة النفسية	B-N		
A-5401	0h, well, just let me say this.	حسنا دعيني أخبركي بشيء	B-F	حسنا دعني أخبرك بشيء	أخبركي
A-5402	10 years ago, I was at a conference in Europe.	قبل عشر سنين ، كنت في مؤتمر في ( أوروبا )	B-N		
A-5403	100 pesetas, I stood to win...	- - كنت ذاهبا لفوز 100 بيزيتا . . .	M-N	- - كنت ذاهبة لفوز 100 بيزيتا . . .	
A-5404	102, I think.	102 على ما أعتقد	B-N		
A-5405	11, but I don't know where they are.	يوجد 11 ، لكن لا أعرف أماكنهم	B-N		
A-5406	15. My wife won't do it.	خمسة عشر ، زوجتي لن تفعل ذلك	B-N		
A-5407	16 years I've been playing in this town.	. لقد لعبت لمدة 16 سنة هنا	B-N		
