B-6347	Do whatever it is you need to do.	افعل ما تشاء	N-M	افعلي ما تشائين	
B-6348	Do whatever you want, babe.	. أفعلي ما تشائين ، حبيبتي	B-F	. افعل ما تشاء ، حبيبي	
B-6349	Do whatever you want.	- افعل ما يحلو لك -	N-M	- افعلي ما يحلوين لك -	
B-6350	Do you actually think that he's a murderer?	هل تعتقد حقا انه قاتل ؟	B-M	هل تعتقدين حقا انه قاتل ؟	
B-6351	Do you agree with Mrs. Grant's assessment that women are not their husbands' keepers, or do you think she should be held accountable for her husband's decisions?	هل تتفقين مع السيدة غرانت على تقييمها بأن النساء لسن مسؤولات عن تصرفات أزواجهن أم أنك تعتقدين أنها يجب أن تكون محاسبة	N-F	هل تتفق مع السيدة غرانت على تقييمها بأن النساء لسن مسؤولات عن تصرفات أزواجهن أم أنك تعتقد أنها يجب أن تكون محاسبة	
B-6352	Do you ask him if he killed her?	هل أسأله عما إذا كان قتلها ؟	B-N		
B-6353	Do you believe Russell when he says he saw a ghost?	" هل تصدق " راسل عندما قال بأنه رأي شبحا	N-M	" هل تصدقين " راسل عندما قال بأنه رأي شبحا	
B-6354	Do you believe her?	- هل تصدقها ؟	N-M	- هل تصدقينها ؟	
B-6355	Do you believe in Santa Claus?	- من أنت ؟	N-B		
B-6356	Do you believe in it, Mr. Walker?	وماذا عنك انت ؟ هل تؤمن بها يا سيد واكر ؟	N-M	وماذا عنك انت ؟ هل تؤمنين بها يا سيدة واكر ؟	
B-6357	Do you believe in the Holy Spirit, the holy Catholic church, the resurrection of the body, and life everlasting?	هل تؤمنون بروح القدس والكنيسة الكاثوليكية المقدسة و بعث الموتى	N-M!	هل تؤمن بروح القدس والكنيسة الكاثوليكية المقدسة و بعث الموتى	
B-6358	Do you believe that our actions are answerable to consequences from a higher power?	أتؤمنين أن أفعالنا لها عواقب مجابة من قوة إلهية عظمى ؟	B!-F	أتؤمن أن أفعالنا لها عواقب مجابة من قوة إلهية عظمى ؟	
B-6359	Do you care if we leave the dance a little bit early?	هل تبالي اذ غادرنا حفلة الرقص مبكرا	B!-M	هل تبالين اذ غادرنا حفلة الرقص مبكرا	
B-6360	Do you collaborate with the police?	هل تعمل مع الشرطة ، " فرناندو " ؟	N-M	هل تعملين مع الشرطة ، " فرناندو " ؟	
B-6361	Do you copy?	هل تسمعون هذا ؟	N-M!	هل تسمعن هذا ؟	
B-6362	Do you dare still pretend to be human?	هل ما زلت تجرؤين على إدعاء كونك إنسانة ؟	N-F	هل ما زلت تجرأ على إدعاء كونك إنسان ؟	
B-6363	Do you dare?	هل يجرؤ ؟	N-N		
B-6364	Do you eat dinner?	أتأكل ( وجبة عشاء ؟ )	N-M	أتأكلين ( وجبة عشاء ؟ )	
B-6365	Do you even have any evidence that he was inside the car?	- أوجدتم أي دليل يثبت أنه كان بداخل السيارة ؟	N-M!	- أوجدتن أي دليل يثبت أنه كان بداخل السيارة ؟	
B-6366	Do you even know how to speak Korean?	هل تعرف كيف تتحدث الكورية حتى ؟	N-M	هل تعرفين كيف تتحدثين الكورية حتى ؟	
B-6367	Do you even know what you're apologizing for?	- أتعلم حتى عما تعتذر ؟	N-M	- أتعلمين حتى عما تعتذرين ؟	
B-6368	Do you even know who she is?	هل تعرفها على حقيقتها ؟	N-M	هل تعرفينها على حقيقتها ؟	
B-6369	Do you even realize how many years of praying it took to make that dream a reality?	هل تدرك كم سنوات من الصلاة أستغرق كي يتحول الحلم إلى حقيقة ؟	N-M	هل تدركين كم سنوات من الصلاة أستغرق كي يتحول الحلم إلى حقيقة ؟	
B-6370	Do you ever feel that way, Ms. Torres?	هل تشعرين بهذه الطريقة أبدا يا سيدة ( تورريس ) ؟	N-F	هل تشعر بهذه الطريقة أبدا يا سيد ( تورريس ) ؟	
B-6371	Do you ever get the feeling the whole world is against you?	هل أحسستم من قبل أن العالم كله متآمر ضدكم ؟	N-M!	هل أحسستن من قبل أن العالم كله متآمر ضدكن ؟	
B-6372	Do you ever take an interest in anything he does?	هل تهتمين بأي عمل يقوم به ؟	N-F	هل تهتم بأي عمل يقوم به ؟	
B-6373	Do you ever tell anyone the truth?	هل كنت صادقا وأخبرت أحدهم الحقيقة في يوم من الأيام ؟	N-M	هل كنت صادقة وأخبرت أحدهم الحقيقة في يوم من الأيام ؟	
B-6374	Do you expect to live after what you have done to us?	هل تتوقع أن تعيش بعد ما فعلته لنا ؟	B!-M	هل تتوقعين أن تعيشي بعد ما فعلته لنا ؟	
B-6375	Do you feel better?	هل تشعر بتحسن	N-M	هل تشعرين بتحسن	
B-6376	Do you feel hot?	هل تشعرين بالحر ؟ - لا -	N-F	هل تشعر بالحر ؟ - لا -	
B-6377	Do you feel ready for him?	هل تشعرين أنك جاهزة لاستقباله ؟	N-F	هل تشعر أنك جاهز لاستقباله ؟	
B-6378	Do you feel threatened by the cock?	أيشعرك العضو الذكري بالتهديد ؟	N-B		
B-6379	Do you forget who you're talking about?	هل نسيت من الذي تتحدث إليه ؟	N-M	هل نسيت من الذي تتحدثين إليه ؟	
B-6380	Do you get it?	هل فهمتي ؟	N-F	هل فهمت ؟	
B-6381	Do you get scared making deliveries?	هل اصبحت تخاف من توصيل الطلبات ؟	N-M	هل اصبحت تخافين من توصيل الطلبات ؟	
B-6382	Do you get that...?	هل أنت تحصل على ذلك ؟	N-M	هل أنت تحصلين على ذلك ؟	
B-6383	Do you get the idea now, Jack?	هل فهمت الفكرة جاك ؟	N-B		
B-6384	Do you go back to D.C.?	هل ستعود إلى العاصمة ؟	N-M	هل ستعودين إلى العاصمة ؟	
B-6385	Do you go to a gym?	هل تذهبين للصالة ؟	N-F	هل تذهب للصالة ؟	
B-6386	Do you go to his book presentation?	هل ذهبت لمعرض كتابه ؟	N-B		
B-6387	Do you got a guardian?	هل لديك وصي ؟	N-B		
B-6388	Do you guys get along now?	هل تتفقان الآن ؟	N-B!		
B-6389	Do you guys have a minute?	هلا لي من وقتكما ؟	B-B!		
B-6390	Do you guys have like a manual where you get this stuff or something?	هل لديكم يا رفاق شئ مثل الدليل تحصلون منه على كل هذه الأشياء - أو شئ ما ؟		HARD	
B-6391	Do you guys know Mel Miller?	أتعرفون ( ميل ميلير ) يا رفاق ؟		HARD	
B-6392	Do you guys know any musicians?	هل تعرفان أي موسيقيين يا رفاق ؟		HARD	
B-6393	Do you guys like Indian food?	يبدو كأنه طعام هندي ؟	N-N		
B-6394	Do you happen to know if someone's looking for a job, or...	هل صادف أنك تعرف شخصا يبحث عن عمل أو . . .	N-M	هل صادف أنك تعرفين شخصا يبحث عن عمل أو . . .	
B-6395	Do you happen to remember this other woman's name?	أتذكرين اسم تلك المرأة الأخرى ؟	N-F	أتذكر اسم تلك المرأة الأخرى ؟	
B-6396	Do you have a Mr. Renick on the seven o'clock flight for Rome?	هل لديكم السيد ( رينيك ) في رحلة السابعة لروما ؟	N-M!	هل لديكن السيد ( رينيك ) في رحلة السابعة لروما ؟	
B-6397	Do you have a child?	هل تملكين طفلا ؟	N-F	هل تملك طفلا ؟	
B-6398	Do you have a comb, by any chance?	هل اجد معك مشط بالصدفة ؟	B-B		
B-6399	Do you have a daughter Winnie, about 26 years old?	ألديك بنت تدعي ويني بعمر 26 سنة تقريبا ؟	N-B		
B-6400	Do you have a fake or something?	هل لديك وهمية أو شيء من هذا ؟	N-B		
B-6401	Do you have a fever?	هل لديك حمى ؟	N-B		
B-6402	Do you have a gig or do you always dress like a hooker from Night Court?	هل لديك حفل موسيقي او انك دائما ترتدين ملابس بنات الليل	N-F	هل لديك حفل موسيقي او انك دائما ترتدي ملابس بنات الليل	
B-6403	Do you have a guy deep inside the Church? - You know, an undercover agent?	هل لديك رجل في الكنيسة تعلم ، عميل سري ؟	N-M	هل لديك رجل في الكنيسة تعلمين ، عميل سري ؟	
B-6404	Do you have a lead on Cleophas?	هل لديك خيوط على مكان ( كليوفاس ) ؟	N-B		
B-6405	Do you have a minute?	أيمكنني التحدث معك للحظة ؟	B-B		
B-6406	Do you have a real job?	هل لديك عمل حقيقي ؟	N-B		
B-6407	Do you have a real name on this guy?	هل لديك اسم حقيقي له ؟	N-B		
B-6408	Do you have a set of those keys?	هل لديك مجموعة من تلك المفاتيح ؟	N-B		
B-6409	Do you have a single shred of evidence linking Blunt to the murder?	هل عندك ذرة من الأدلة التي تربط ( بلانت ) بالجريمة ؟	N-B		
B-6410	Do you have a sofa?	هل عندك كنبة ؟	N-B		
B-6411	Do you have a spine?	- هل لديك ميلان ؟ -	N-B		
B-6412	Do you have a wedding photo?	هل لديكم صورة من العرس ؟	N-M!	هل لديكن صورة من العرس ؟	
B-6413	Do you have an address for Schmertz?	هل لديك عنوان ( شميرتز )	N-B		
B-6414	Do you have an entry permit?	هل لديك إذن بالدخول ؟	N-B		
B-6415	Do you have any Frappuccino up here? Any puff pastry, too.	ألديكم شراب القهوة المخفوقة هنا ؟	N-M!	ألديكن شراب القهوة المخفوقة هنا ؟	
B-6416	Do you have any brothers or sisters?	ألديك أي أشقاء ؟	N-B		
B-6417	Do you have any constructive hobby or ...do you only believe in breaking things?	هل عندك أي هواية بناءة أو . . . يأنتتؤمنفقط بكسر الأشياء ؟	B-S		
B-6418	Do you have any hobbies?	ألديك أي هوايات ؟	N-B		
B-6419	Do you have any idea how backrds that is?	أتعلمين كم هذا محزن ؟	N-F	أتعلم كم هذا محزن ؟	
B-6420	Do you have any idea how HARD it is to be a single parent?	ألديك فكرة كم هو صعب أن أربي ولدا وحدي ؟	B-B		
B-6421	Do you have any idea how he got in here?	هل لديك فكرة كيف وصل إلى هنا ؟	N-B		
B-6422	Do you have any idea how many speeches	هل لديك أي فكرة عن عدد الخطب	N-B		
B-6423	Do you have any idea how much this is costing?	ألديك اي فكرة عما يتكلفه الآمر ؟	N-B		
B-6424	Do you have any idea how much we needed you here? !	الديك اية فكرة كم احتجناك هنا	B!-B		
B-6425	Do you have any idea how to take care of a child?	هل لديك اية فكرة عن تربية طفل ؟	N-B		
B-6426	Do you have any idea what it feels like to be refused something?	هل تعرف ما هو شعور أن تمنع من الحصول على شيء ؟	N-M	هل تعرفين ما هو شعور أن تمنعي من الحصول على شيء ؟	
B-6427	Do you have any idea what the wrong person would do to you if they knew you had access?	ألديك أي فكرة ماذا سيفعل الشخص الخطأ لك إن علم أن لديك صلاحية الولوج ؟	N-B		
B-6428	Do you have any idea what they're about to do out there?	هل لديك أدنى فكرة عما سيقومون بفعله لهم ؟	N-B		
B-6429	Do you have any idea what you've done?	ألديك أي فكرة عن الذي فعلته ؟	N-B		
B-6430	Do you have any idea where he went last night?	ألديك أي فكرة لأين ذهب ليلة أمس ؟	N-B		
B-6431	Do you have any idea where we could find Mr. Weyland?	هل لديك أي فكرة عن مكان يمكننا فيه إيجاد السيد " وايلند " ؟	B!-B		
B-6432	Do you have any idea who he was talking to?	ألديك أدنى فكرة إلى من كان يتحدث ؟	N-B		
B-6433	Do you have any identification?	هل معك اى هويه ؟	N-B		
B-6434	Do you have any last words?	هل لديك أية كلمات أخيرة ؟	N-B		
B-6435	Do you have any money?	- هل معك اي مال ؟	N-B		
B-6436	Do you have any opinions on democracy?	هل لديك آراء عن الديمقراطية ؟	N-B		
B-6437	Do you have any other footage, loker?	هل لديك اى مقاطع مسجلة أخرى ، ( لوكر ) ؟	N-B		
B-6438	Do you have any recordings of previous broadcasts?	هل لديك أي تسجيلات إذاعية سابقة ؟	N-B		
B-6439	Do you have any specific information regarding rebs and Southern sympathizers in our midst?	هل لديك أي معلومات معينة بخصوص الجنود والمتعاطفين الجنوبيين في وسطنا ؟	B!-B		
B-6440	Do you have anything to say for yourself?	ألديك ما تتدافع به عن نفسك ؟	N-M	ألديك ما تتدافعين به عن نفسك ؟	
B-6441	Do you have anywhere you need to be?	ألديك مكان ما تودين الذهاب إليه ؟	N-F	ألديك مكان ما تود الذهاب إليه ؟	
B-6442	Do you have at kick too?	هل لديك في ركلة أيضا ؟	N-B		
B-6443	Do you have brothers?	هل لديك اخوة ؟	N-B		
B-6444	Do you have children?	هل لديك ا ؟ طفال ؟	N-B		
B-6445	Do you have family in the military?	هل لديك أحد من العائلة بالجيش ؟	N-B		
B-6446	Do you have her?	هل حصلت عليها ؟	N-B		
B-6447	Do you have it or not?	هل جلبته أم لا ؟	N-B		
B-6448	Do you have kids?	هل لديكي أطفال ؟	N-F	هل لديك أطفال ؟	
B-6449	Do you have nothing to do tonight but pray?	لماذا تجلس هناك ؟	N-M	لماذا تجلسين هناك ؟	
B-6450	Do you have plans tonight?	امم ، هل لديك مواعيد الليلة ؟	B-S		
B-6451	Do you have problems ...	. . . هل لديك مشكله	N-B		
B-6452	Do you have proof?	هل لديك أية أدلة ؟	N-B		
B-6453	Do you have secrets?	هل لديك أسرار ؟	N-B		
B-6454	Do you have snakes in Iceland?	هل هناك أفاعي في ( آيسلندا ) ؟	N-B		
B-6455	Do you have the 300,000 liras?	هل لديك 300 ، 000 ليرة ؟	N-B		
B-6456	Do you have the courage to come up here and do it?	هل تملك الشجاعة لفعل ذلك	N-M	هل تملكين الشجاعة لفعل ذلك	
B-6457	Do you have the hydrolase for ethyl-parathion?	ألديهم هيدرولايز لأجل ذلك المبيد ؟	N-N		
B-6458	Do you have to drag Simon down with you?	بل أقحمت ( سيمون ) معك في الذنب ؟	N-B		
B-6459	Do you have to go to the reception now?	أأنت ذاهبة لحفل الاستقبال الآن ؟	N-F	أأنت ذاهب لحفل الاستقبال الآن ؟	
B-6460	Do you have to keep bringing that up?	هل ستظل تذكر ذلك ؟	N-M	هل ستظلين تذكرين ذلك ؟	
B-6461	Do you have to travel today?	هل يجب أن تسافر اليوم ؟	N-M	هل يجب أن تسافري اليوم ؟	
B-6462	Do you have your work, George?	هل حللت واجبك يا ( جورج ) ؟	N-B		
B-6463	Do you have, like, an address?	ألديك عنوان ؟	N-B		
B-6464	Do you hear any difference between these two songs?	أترى أي فارق بين هاتين الأغنيتين ؟	N-M	أترين أي فارق بين هاتين الأغنيتين ؟	
B-6465	Do you hear anything?	هل تسمع شيئا ؟	N-M	هل تسمعين شيئا ؟	
B-6466	Do you hear that?	صه ، هل سمعت ذلك ؟	N-B		
B-6467	Do you hear this?	هل تسمع ذلك	N-M	هل تسمعين ذلك	
B-6468	Do you hear voices?	أبي ، هل تسمع الأصوات ؟	B-M	أمي ، هل تسمع الأصوات ؟	
B-6469	Do you imagine that's his head?	هل تتخيلين هذا رأسه ؟	N-F	هل تتخيل هذا رأسه ؟	
B-6470	Do you keep records to document who buys hunting arrows?	هل تحتفظين بسجل او وثائق لمن يقوم بشراء الاسهم ؟ ان دفعوا بالبطاقة الائتمانية -	N-F	هل تحتفظ بسجل او وثائق لمن يقوم بشراء الاسهم ؟ ان دفعوا بالبطاقة الائتمانية -	
B-6471	Do you know Rabagliati personally?	هل تعرف راباجلياتى شخصيا ؟	B-S		
B-6472	Do you know a Laura Benson?	هل تعرف ( لورا بينسون )	N-M	هل تعرفين ( لورا بينسون )	
B-6473	Do you know a song called: "She could be you"?	هل تعرفين أغنية أسمها انها يمكن أن تكون أنت	N-F	هل تعرف أغنية أسمها انها يمكن أن تكون أنت	
B-6474	Do you know any good white basketball players?	أتعرف أي لاعبون كرة سلة بيض جيد ؟	N-M	أتعرفين أي لاعبون كرة سلة بيض جيد ؟	
B-6475	Do you know anything about them?	هل تعرف عنهم شيئا ؟	N-M	هل تعرفين عنهم شيئا ؟	
B-6476	Do you know anything about what happened here seven years ago?	هل تعرف شيئا عما حصل هنا قبل سبعة أعوام ؟	N-M	هل تعرفين شيئا عما حصل هنا قبل سبعة أعوام ؟	
B-6477	Do you know each other?	أتعرفان بعضكما البعض ؟	N-B!		
B-6478	Do you know grandma loves you?	هل تعلم أن جدتك تحبك ؟	N-M	هل تعلمين أن جدتك تحبك ؟	
B-6479	Do you know how insufferable that's gonna make him?	هل تعرف كيف لا تطاق التي ستعمل جعله ؟	N-M	هل تعرفين كيف لا تطاق التي ستعمل جعله ؟	
B-6480	Do you know how invigorating it is to go in and write a check for $6,500 and not care?	هل تعلم ماهو الشعور عندما تذهب إليهم وتكتب شيكا ب 6.500 دولار ولا تهتم لذلك ؟	N-M	هل تعلمين ماهو الشعور عندما تذهبين إليهم وتكتبين شيكا ب 6.500 دولار ولا تهتم لذلك ؟	
B-6481	Do you know how long you'd gone without sleep?	هل تعرف كم بقيت من الوقت من دون نوم ؟	N-M	هل تعرفين كم بقيت من الوقت من دون نوم ؟	
B-6482	Do you know how many grants we've been turned down for?	هل تعرف كم منحة طلبناها ورفضت ؟	B!-M	هل تعرفين كم منحة طلبناها ورفضت ؟	
B-6483	Do you know how many people died in the twin towers strike?	هل تعرف عدد الأشخاص الذين ماتوا في هجوم مبنى التجارة العالمي ؟	N-M	هل تعرفين عدد الأشخاص الذين ماتوا في هجوم مبنى التجارة العالمي ؟	
B-6484	Do you know how much high explosive is in a hellfire missile, Neil?	هل تعرف كم الانفجار عالية في صاروخ جهنم ، نيل ؟	N-M	هل تعرفين كم الانفجار عالية في صاروخ جهنم ، نيل ؟	
B-6485	Do you know how to do it?	هل تعرف كيف تفعلها ؟	N-M	هل تعرفين كيف تفعلينها ؟	
B-6486	Do you know how to run an entire company?	هل تعلم كيفية إدارة شركة بالكامل ؟	N-M	هل تعلمين كيفية إدارة شركة بالكامل ؟	
B-6487	Do you know how to use that?	هل تعرفين كيف تستخدمين ذالك ؟	N-F	هل تعرف كيف تستخدم ذالك ؟	
B-6488	Do you know that one?	أتعرفين هذا الشخص ؟	N-F	أتعرف هذا الشخص ؟	
B-6489	Do you know that?	انتى عارفه كده ؟		HARD	Colloquial
B-6490	Do you know the difference between Death and War, Detective?	اتعلم ما الفرق بين الموت والحرب ؟	N-M	اتعلمين ما الفرق بين الموت والحرب ؟	
B-6491	Do you know the human head weighs eight pounds?	15 لا تتأخر ( جيري ) ، هل تعلم أن رأس الإنسان تزن 8 رطل ؟	N-M	16 لا تتأخري ( جيري ) ، هل تعلمين أن رأس الإنسان تزن 8 رطل ؟	
B-6492	Do you know the meaning of the word "oni"?	( هل تعرف معني كلمه ( اوني	N-M	( هل تعرفين معني كلمه ( اوني	
B-6493	Do you know the skeleton key number?	ألديك رقم المفتاح العمومي ؟	N-B		
B-6494	Do you know the thing you will become? Your evil is that you cannot be evil.	شرك هذا لا يمكنه أن يبقى شر	N-B		
B-6495	Do you know they're planning on going on vacation?	هل تعلم أنهم يخططون للذهاب إلى عطلة ؟	N-M	هل تعلمين أنهم يخططون للذهاب إلى عطلة ؟	
B-6496	Do you know what a good mechanic is worth?	أتعرفين قيمة الميكانيكي الجيد ؟	N-F	أتعرف قيمة الميكانيكي الجيد ؟	
B-6497	Do you know what could happen, Miriam?	هل ضاعت ؟	N-N		
B-6498	Do you know what day it is?	هل تعرف أي يوم هو هذا ؟	N-M	هل تعرفين أي يوم هو هذا ؟	
B-6499	Do you know what happened last night?	هل تعرف ماذا حدث ليلة أمس ؟	N-M	هل تعرفين ماذا حدث ليلة أمس ؟	
B-6500	Do you know what happens to people without an education?	أتعرفين ما يحدث للناس من دون تعليم ؟	N-F	أتعرف ما يحدث للناس من دون تعليم ؟	
B-6501	Do you know what it's like - being a woman in this world?	هل تعرف ما هو عليه - كونها امرأة في هذا العالم ؟	N-M	هل تعرفين ما هو عليه - كونها امرأة في هذا العالم ؟	
B-6502	Do you know what kind of car she's driving?	أتعلمين ما نوع السيارة التي تقودها ؟	N-F	أتعلم ما نوع السيارة التي تقودها ؟	
B-6503	Do you know what that feels like?	أتعرف كيف يكون هذا الشعور ؟	N-M	أتعرفين كيف يكون هذا الشعور ؟	
B-6504	Do you know what the president thinks?	هل تعرف ماذا يعتقد الرئيس ؟	N-M	هل تعرفين ماذا يعتقد الرئيس ؟	
B-6505	Do you know what the villagers call us?	هل تعرفين بماذا ينادينا أهل القرية ؟	B!-F	هل تعرف بماذا ينادينا أهل القرية ؟	
B-6506	Do you know what those guys do?	هل تعرف ما مل هؤلاء الرجال ؟	N-M	هل تعرفين ما مل هؤلاء الرجال ؟	
B-6507	Do you know what those maps were used for?	أتعرف فيما كانت الغاية من استعمال تلك الخرائط ؟	N-M	أتعرفين فيما كانت الغاية من استعمال تلك الخرائط ؟	
B-6508	Do you know what you're doing?	أتعلم ما الذي تفعله ؟	N-M	أتعلمين ما الذي تفعله ؟	
B-6509	Do you know what you're-- Ow.	- - هل تعلمي ما الذي تقومي اوه		HARD	
B-6510	Do you know what's going on up there?	أتعلم ما الذي يحدث هناك ؟	N-M	أتعلمين ما الذي يحدث هناك ؟	
B-6511	Do you know where Aron is?	هل تعرف أين آرون ؟	N-M	هل تعرفين أين آرون ؟	
B-6512	Do you know where he is?	هل تعلمين أين مكانه ؟	N-F	هل تعلم أين مكانه ؟	
B-6513	Do you know where he lives, how he lives, what he lives on?	هل تعرفين أين يعيش ؟ هل تعرفين كيف يعيش ؟ هل تعرفين على ماذا يعيش ؟	N-F	هل تعرف أين يعيش ؟ هل تعرف كيف يعيش ؟ هل تعرف على ماذا يعيش ؟	
B-6514	Do you know where she is?	هل تعلمين أين هي الآن ؟	N-F	هل تعلم أين هي الآن ؟	
B-6515	Do you know where this is?	اتعلم اين التقطت هذه الصوره ؟ لقد ضمنت مع احداثيات لتحديد الموقع	N-M	أتعلمين اين التقطت هذه الصوره ؟ لقد ضمنت مع احداثيات لتحديد الموقع	
B-6516	Do you know where you were when tim chang went missing?	هل تتذكرون اين كنتم ، حينما اختفى ( تشين ) ؟	N-M!	هل تتذكرن اين كنتن ، حينما اختفى ( تشين ) ؟	
B-6517	Do you know which one?	أتعلمين أي سكين ؟	N-F	أتعلم أي سكين ؟	
B-6518	Do you know which watch you'd like to wear tonight, Mr Stark?	أتعرف أي ساعة سترتدي الليلة سيد ( ستارك ) ؟	N-M	أتعرفين أي ساعة سترتدين الليلة سيدة ( ستارك ) ؟	
B-6519	Do you know who is doing this?	أنت تعرف من الذي يفعل بنا هذا ؟	B!-M	أنت تعرفين من الذي يفعل بنا هذا ؟	
B-6520	Do you know who sent us?	هل تعلم من أرسلنا ؟	B!-M	هل تعلمين من أرسلنا ؟	
B-6521	Do you know whose house you're robbing?	أتعلم لمن هذا البيت الذي تسرقه ؟	N-M	أتعلمين لمن هذا البيت الذي تسرقينه ؟	
B-6522	Do you know why it is good, Jeroboam?	هل تعرف لماذا انه لامر جيد ، يا يربعام ؟	N-M	هل تعرفين لماذا انه لامر جيد ، يا يربعام ؟	
B-6523	Do you know why she gets sad?	هل تعلمين لما هي حزينة ؟	N-F	هل تعلم لما هي حزينة ؟	
B-6524	Do you know why your father killed him?	هل تعلمين لم قتله والدك ؟	N-F	هل تعلم لم قتله والدك ؟	
B-6525	Do you know why?	أتعلم لم ؟	N-M	أتعلمين لم ؟	
B-6526	Do you know, the thing is...	. . هل تعرفين . . المسأله هي	N-F	. . هل تعرف . . المسأله هي	
B-6527	Do you know?	هل تعلم أنت ؟	N-M	هل تعلمين أنت ؟	
B-6528	Do you know? - No.	أتعرفه ؟	N-M	أتعرفينه ؟	
B-6529	Do you like animals, Griff?	هل تحب الحيوانات ، غريف ؟	N-M	هل تحبين الحيوانات ، غريف ؟	
B-6530	Do you like baseball, Bobby?	أتحب البيسبول يا ( بوبي ) ؟	N-M	أتحبين البيسبول يا ( بوبي ) ؟	
B-6531	Do you like beer?	هل تحبها ؟	N-M	هل تحبينها ؟	
B-6532	Do you like dragons?	أتحب التنانين ؟	N-M	أتحبين التنانين ؟	
B-6533	Do you like gingerbread or children?	أتحبين الخبر بالزنجبيل أو الأولاد ؟	N-F	أتحب الخبر بالزنجبيل أو الأولاد ؟	
B-6534	Do you like him?	هل تحب له ؟	N-M	هل تحبين له ؟	
B-6535	Do you like him?	هل أنت معجبة به ؟	N-F	هل أنت معجب به ؟	
B-6536	Do you like it here?	هل ترغب في ذلك هنا ؟	N-M	هل ترغبين في ذلك هنا ؟	
B-6537	Do you like it here?	هل احببتى البلدة ؟	N-F	هل أحببت البلدة ؟	احببتى
B-6538	Do you like it here?	وهل أحببتي المكان هنا ؟	N-F	وهل أحببت المكان هنا ؟	أحببتي
B-6539	Do you like it?	هل اعجبك هذا ؟	N-B		
B-6540	Do you like it?	هل يعجبك ؟	N-B		
B-6541	Do you like it?	كنت أذهب - هل أعجبتك ؟		HARD	More than one sentence
B-6542	Do you like jambalaya?	هل تعجبك " الجمبلايا " ؟	N-B		
B-6543	Do you like milkshakes?	- هل تحبين اللبن ؟	N-F	- هل تحب اللبن ؟	
B-6544	Do you like pink socks, motherfucker?	هل تحب الجوارب الوردية اللون ، يا ابن الكلبة ؟	N-M	هل تحبين الجوارب الوردية اللون ، يا بنت الكلبة ؟	
B-6545	Do you like riding?	هل تحبين الركوب ! ؟	N-F	هل تحب الركوب ! ؟	
B-6546	Do you like that chap?	أ تحبه ؟	N-M	أتحبينه ؟	
B-6547	Do you like that music?	هل تعجبك تلك الموسيقى ؟	N-B		
B-6548	Do you like the opera?	أتحب الأوبرا ؟	N-M	أتحبين الأوبرا ؟	
B-6549	Do you like the things that life is showing you?	" هل احببتي الايام التي كنا مع بعضنا "	B!-F	" هل أحببت الايام التي كنا مع بعضنا "	
B-6550	Do you like to experiment sexually?	هل تحبي تجربتها جنسيا ؟	N-F	هل تحب تجربتها جنسيا ؟	
B-6551	Do you like video games?	هل تحب ألعاب الفيديو ؟	N-M	هل تحبين ألعاب الفيديو ؟	
B-6552	Do you listen asshole?	أمازلت هنا أيها الوغد ؟	N-M	أمازلت هنا أيتها الوغدة ؟	
B-6553	Do you live around here? Yeah?	ألديك شيء لتقوله ؟	N-M	ألديك شيء لتقوليه ؟	
B-6554	Do you love Abby?	؟ تحب آبي ؟	B-M	؟ تحبين أمي ؟	
B-6555	Do you love the Champ?	هل تحب البطل ؟	N-M	هل تحبين البطل ؟	
B-6556	Do you love this girl, Bennett?	هل تحب هذه الفتاه يا ( بينيت ) ؟	N-M	هل تحبين هذه الفتاه يا ( بينيت ) ؟	
B-6557	Do you mean The Hound Of The Baskervilles?	هل تقصد رواية ( كلب آل باسكرفيل ) ؟	N-M	هل تقصدين رواية ( كلب آل باسكرفيل ) ؟	
B-6558	Do you mean like everyone on this base has been doing for the last five years?	تعني مثلما فعل كل شخص في هذه القاعدة في الخمس سنوات الماضية ؟	N-M	تعنين مثلما فعل كل شخص في هذه القاعدة في الخمس سنوات الماضية ؟	
B-6559	Do you mean someone specific?	أتعنين شخصا على وجه الخصوص ؟	N-F	أتعني شخصا على وجه الخصوص ؟	
B-6560	Do you mind terribly if we do this later?	هل تمانع بشدة اذا فعلنا هذا فى وقت لاحق ؟	B!-M	هل تمانعين بشدة اذا فعلنا هذا فى وقت لاحق ؟	
B-6561	Do you mind?	ولم لا ؟	N-N		
B-6562	Do you mind?	أجل .	B-N		
B-6563	Do you mind?	آسفة يا شباب		HARD	شباب
B-6564	Do you miss her?	هل تفتقدها ؟	N-M	هل تفتقدينها ؟	
B-6565	Do you miss your home?	هل تفتقدين وطنك ؟	N-F	هل تفتقد وطنك ؟	
B-6566	Do you need a moment, Lieutenant?	هل تحتاج الى لحظة حضرة الملازم ؟	N-M	هل تحتاجين الى لحظة حضرة الملازم ؟	
B-6567	Do you need a pill?	هل تحتاجي إلى دوائك ؟	N-F	هل تحتاج إلى دوائك ؟	
B-6568	Do you need any money?	أتحتاج أى مال ؟	N-M	أتحتاجين أى مال ؟	
B-6569	Do you need money?	هل أنت بحاجة الى المال ؟	N-B		
B-6570	Do you need something, sir?	هل تحتاج شيئا ، سيدي ؟	B-M	هل تحتاجين شيئا ، سيدتي ؟	
B-6571	Do you need this tape?	هل تحتاج هذا الشريط اللاصق ؟	N-M	هل تحتاجين هذا الشريط اللاصق ؟	
